service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BUS422-hbc42cl1-Wdy-02,0,0,0,0,0,0,0,20221010,20221010
BUS422-hbc42fr1-Wdy-02,0,0,0,0,1,0,0,20220923,20221216
BUS422-hbc42nf1-Wdy-02,0,0,0,0,0,0,0,20221111,20221125
BUS422-hbc42wk1-Wdy-02,1,1,1,1,0,0,0,20220926,20221215
BUS422-hbs42sf1-Wdy-02,0,0,0,0,0,0,0,20221125,20221125
BUS422-hbs42sn1-Wdy-02,0,0,0,0,0,0,0,20221010,20221111
BUS422-hbs42sp1-Wdy-02,1,1,1,0,0,0,0,20221121,20221123
BUS422-hbs42sp6-Sa-02,0,0,0,0,0,1,0,20221119,20221126
BUS422-hbs42sp7-Su-02,0,0,0,0,0,0,1,20221120,20221127
BUS422-hbs42sw1-Wdy-02,1,1,1,1,1,0,0,20220923,20221216
BUS422-hbs42sw6-Sa-02,0,0,0,0,0,1,0,20220924,20221217
BUS422-hbs42sw7-Su-02,0,0,0,0,0,0,1,20220925,20221113
Boat-EastBoston-Sa-Fll-22,0,0,0,0,0,1,0,20221015,20221126
Boat-EastBoston-Su-Fll-22,0,0,0,0,0,0,1,20221016,20221127
Boat-EastBoston-Wdy-Fll-22,1,1,1,1,1,0,0,20221011,20221130
Boat-F1-Wdy-Fll-22,1,1,1,1,1,0,0,20221011,20221216
Boat-F4-Sa-Fll-22,0,0,0,0,0,1,0,20221015,20221217
Boat-F4-Su-Fll-22,0,0,0,0,0,0,1,20221016,20221211
Boat-F4-Wdy-Fll-22,1,1,1,1,1,0,0,20221011,20221216
CR-Newburyport-LynnShuttle-Snd,0,0,0,0,0,0,1,20221002,20221211
CR-Newburyport-LynnShuttle-Std,0,0,0,0,0,1,0,20221001,20221217
CR-Newburyport-LynnShuttle-Wkd,1,1,1,1,1,0,0,20221003,20221216
ColumbusDay-VeteransDay-DfrThgD,0,0,0,0,0,0,0,20221010,20221125
FllSnd,0,0,0,0,0,0,1,20220925,20221211
FllStd,0,0,0,0,0,1,0,20220924,20221217
FllWkd,1,1,1,1,1,0,0,20220923,20221216
Green-C-SeptUnionSq-Sa-NGLX,0,0,0,0,0,1,0,20220924,20221029
Green-C-SeptUnionSq-Su-NGLX,0,0,0,0,0,0,1,20220925,20221030
Green-C-SeptUnionSq-Wdy-NGLX,1,1,1,1,1,0,0,20220926,20220930
LRV422-hlb42011-Wdy-01-3a38125a,1,1,1,1,1,0,0,20220926,20220930
LRV422-hlb42011-Wdy-01-NGLX,1,1,1,1,1,0,0,20221003,20221216
LRV422-hlb42016-Sa-01-3a38125a,0,0,0,0,0,1,0,20220924,20221029
LRV422-hlb42016-Sa-01-NGLX,0,0,0,0,0,1,0,20221105,20221217
LRV422-hlb42017-Su-01-3a38125a,0,0,0,0,0,0,1,20220925,20221030
LRV422-hlb42017-Su-01-NGLX,0,0,0,0,0,0,1,20221106,20221211
LRV422-hlm42011-Wdy-01,1,1,1,1,1,0,0,20220923,20221216
PRIV422-hpa42011-Wdy-01,1,1,1,1,1,0,0,20220923,20221216
PRIV422-hpj42011-Wdy-01,1,1,1,1,1,0,0,20220923,20221216
PRIV422-hpj42017-Su-01,0,0,0,0,0,0,1,20220925,20221211
RTL422-hmb42l31-Sa-01,1,1,1,1,1,0,0,20220923,20221216
RTL422-hmo42l31-Sa-01,1,1,1,1,1,0,0,20220923,20221216
RTL422-hms42016-Sa-01,0,0,0,0,0,1,0,20221008,20221029
RTL422-hms42016-Sa-01-BrwJFK,0,0,0,0,0,1,0,20221001,20221001
RTL422-hms42016-Sa-01-RdSksKnlSB,0,0,0,0,0,1,0,20220924,20220924
RTL422-hms42017-Su-01,0,0,0,0,0,0,1,20221009,20221023
RTL422-hms42017-Su-01-BrwJFK,0,0,0,0,0,0,1,20221002,20221002
RTL422-hms42017-Su-01-RdSksKnlSB,0,0,0,0,0,0,1,20220925,20220925
RTL422-hms42dv1-Wdy-01,1,1,1,1,1,0,0,20221031,20221216
RTL422-hms42dv6-Sa-01,0,0,0,0,0,1,0,20221126,20221126
RTL422-hms42dv7-Su-01,0,0,0,0,0,0,1,20221127,20221127
RTL422-hms42l31-Sa-01,1,1,1,1,1,0,0,20220923,20221028
RTL422-hms42l31-Sa-01-AstJFK,1,1,1,1,0,0,0,20221003,20221006
RTL422-hms42pk6-Sa-01,0,0,0,0,0,1,0,20221105,20221217
RTL422-hms42pk7-Su-01,0,0,0,0,0,0,1,20221030,20221211
SPR22-N-Sa-1,0,0,0,0,0,1,0,20220924,20221217
SPR22-N-Sa-1-S72,0,0,0,0,0,1,0,20220924,20221217
SPR22-N-Sa-18,0,0,0,0,0,1,0,20220924,20220924
SPR22-N-Sa-26-S6d,0,0,0,0,0,1,0,20220924,20221217
SPR22-N-Sa-26-S9f,0,0,0,0,0,1,0,20221001,20221217
SPR22-N-Su-1,0,0,0,0,0,0,1,20220925,20221211
SPR22-N-Su-1-S72,0,0,0,0,0,0,1,20220925,20221211
SPR22-N-Su-18,0,0,0,0,0,0,1,20220925,20220925
SPR22-N-Su-26-S6d,0,0,0,0,0,0,1,20220925,20221211
SPR22-N-Su-26-S9f,0,0,0,0,0,0,1,20221002,20221211
SPR22-N-Wdy-1,1,1,1,1,1,0,0,20220923,20221216
SPR22-N-Wdy-1-S72,1,1,1,1,1,0,0,20220923,20221216
SPR22-N-Wdy-1-S9f,1,1,1,1,1,0,0,20220923,20220930
