route_pattern_id,route_id,direction_id,route_pattern_name,route_pattern_time_desc,route_pattern_typicality,route_pattern_sort_order,representative_trip_id
Red-1-0,Red,0,Alewife - Ashmont,,1,10010004,53559346
Red-3-0,Red,0,Alewife - Braintree,,1,10010005,53559585
Red-D-0,Red,0,Davis - Ashmont,,4,10010008,53149556
Red-E-0,Red,0,Davis - Braintree,,4,10010009,53149698
Red-P-0,Red,0,Park Street - Ashmont,Weekends only,4,10010010,53270771
Red-Q-0,Red,0,Park Street - Braintree,Weekends only,4,10010011,53270882
Red-1-0_70081_70085_0,Red,0,Alewife - Broadway,,4,10010099,52928242-BroadwayJFK0
Red-1-0_70081_70085_2,Red,0,JFK/UMass - Ashmont,,4,10010099,52928242-BroadwayJFK2
Red-1-0_70085_70093_0,Red,0,Alewife - JFK/UMass,,4,10010099,53559346-21:00-AshmontJFK0
Red-3-0_70081_70095_0,Red,0,Alewife - Broadway,,4,10010099,52928481-BroadwayJFK0
Red-3-0_70081_70095_2,Red,0,JFK/UMass - Braintree,,4,10010099,52928481-BroadwayJFK2
Red-1-1,Red,1,Ashmont - Alewife,,1,10010100,53559351
Red-3-1,Red,1,Braintree - Alewife,,1,10010101,53559505
Red-D-1,Red,1,Ashmont - Davis,,4,10010108,53149484
Red-E-1,Red,1,Braintree - Davis,,4,10010109,53149627
Red-P-1,Red,1,Ashmont - Park Street,Weekends only,4,10010110,53270715
Red-Q-1,Red,1,Braintree - Park Street,Weekends only,4,10010111,53270827
Red-1-1_70086_70082_0,Red,1,Ashmont - JFK/UMass,,4,10010199,52928247-BroadwayJFK0
Red-1-1_70086_70082_2,Red,1,Broadway - Alewife,,4,10010199,52928247-BroadwayJFK2
Red-1-1_70094_70086_2,Red,1,JFK/UMass - Alewife,,4,10010199,53559351-21:00-AshmontJFK2
Red-3-1_70096_70082_0,Red,1,Braintree - JFK/UMass,,4,10010199,52928401-BroadwayJFK0
Red-3-1_70096_70082_2,Red,1,Broadway - Alewife,,4,10010199,52928401-BroadwayJFK2
Mattapan-_-0,Mattapan,0,Ashmont - Mattapan,,1,10011000,52554918
Mattapan-_-1,Mattapan,1,Mattapan - Ashmont,,1,10011100,52554916
Orange-3-0,Orange,0,Oak Grove - Forest Hills,,1,10020000,53244711
Orange-3-1,Orange,1,Forest Hills - Oak Grove,,1,10020100,53244830
Green-B-812-0,Green-B,0,Government Center - Boston College,,1,10032000,53126110-NoGLX
Green-B-816-0_70512_70502_2,Green-B,0,Lechmere - Boston College,,4,10032099,53126208-KenLechSuspendDKenmoreRiversideLechUnionSuspendDNoGLX2
Green-B-812-1,Green-B,1,Boston College - Government Center,,1,10032100,53126109-NoGLX
Green-B-816-1_70501_70511_0,Green-B,1,Boston College - Lechmere,,4,10032199,53126117-KenLechSuspendDKenmoreRiversideLechUnionSuspendDNoGLX0
Green-C-832-0,Green-C,0,Government Center - Cleveland Circle,,1,10033000,53126184-NoGLX
Green-C-0-0,Green-C,0,Union Square - Cleveland Circle,,4,10033099,Green-C-SeptUnionSq-Weekday-0-04:50:00-NoGLX
Green-C-836-0_70512_70502_2,Green-C,0,Lechmere - Cleveland Circle,,4,10033099,53126190-KenLechSuspendDKenmoreRiversideLechUnionSuspendDNoGLX2
Green-C-832-1,Green-C,1,Cleveland Circle - Government Center,,1,10033100,53126185-NoGLX
Green-C-0-1,Green-C,1,Cleveland Circle - Union Square,,4,10033199,Green-C-SeptUnionSq-Weekday-1-05:15:00-NoGLX
Green-C-836-1_70501_70511_0,Green-C,1,Cleveland Circle - Lechmere,,4,10033199,53126191-KenLechSuspendDKenmoreRiversideLechUnionSuspendDNoGLX0
Green-D-855-0,Green-D,0,Union Square - Riverside,,1,10034000,53126282-NoGLX
Green-D-856-0_70512_70502_2,Green-D,0,Lechmere - Riverside,,4,10034099,53126284-NoGLX2
Green-D-855-1,Green-D,1,Riverside - Union Square,,1,10034100,53126281-NoGLX
Green-D-856-1_70501_70511_0,Green-D,1,Riverside - Lechmere,,4,10034199,53126283-NoGLX0
Green-E-886-0_70512_70502_2,Green-E,0,Lechmere - Heath Street,,1,10035096,53126421-NoGLX2
Green-E-886-1_70501_70511_0,Green-E,1,Heath Street - Lechmere,,1,10035196,53126206-NoGLX0
Blue-6-0,Blue,0,Wonderland - Bowdoin,,1,10040000,53398105
Blue-8-0,Blue,0,Orient Heights - Bowdoin,,3,10040004,53398374
Blue-6-1,Blue,1,Bowdoin - Wonderland,,1,10040100,53398106
741-_-0,741,0,South Station - Logan Airport Terminals,,1,10051000,53423794
741-_-1,741,1,Logan Airport Terminals - South Station,,1,10051100,53423796
741-2-1,741,1,Logan Airport Terminals - South Station (Surface Route),Late nights only,3,10051104,53423976
742-_-0,742,0,South Station - Drydock Ave (PM Route),,1,10052000,53423610
742-3-1,742,1,Drydock Ave - South Station (PM - Omits 88 Black Falcon Ave),,1,10052100,53423609
743-_-0,743,0,South Station - Chelsea Station,,1,10053000,53422516
743-_-1,743,1,Chelsea Station - South Station,,1,10053100,53422518
743-1-1,743,1,Chelsea Station - South Station (Surface Route),Late nights only,3,10053104,53422707
751-_-0,751,0,South Station - Nubian Station,,1,10055000,53422413
751-_-1,751,1,Nubian Station - South Station,,1,10055100,53422412
749-_-0,749,0,Temple Place - Nubian Station,,1,10056000,53419232
749-_-1,749,1,Nubian Station - Temple Place,,1,10056100,53419231
746-_-0,746,0,South Station - Silver Line Way,,1,10057000,53422551
746-_-1,746,1,Silver Line Way - South Station,,1,10057100,53422517
CR-Fairmount-dc5eb181-0,CR-Fairmount,0,South Station - Readville via Fairmount,,1,20001000,CR-524721-925
CR-Fairmount-3dfc2722-1,CR-Fairmount,1,Readville - South Station via Fairmount,,1,20001100,CR-524720-926
CR-Fitchburg-979a6935-0,CR-Fitchburg,0,North Station - Wachusett,,1,20002000,CR-525665-433
CR-Fitchburg-ce651dfc-0,CR-Fitchburg,0,North Station - Littleton/Route 495,,2,20002001,CR-528303-413
CR-Fitchburg-008fca34-1,CR-Fitchburg,1,Wachusett - North Station,,1,20002100,CR-528295-428
CR-Fitchburg-472835d4-1,CR-Fitchburg,1,Littleton/Route 495 - North Station,,2,20002101,CR-528306-418
CR-Worcester-38e2728b-0,CR-Worcester,0,South Station - Worcester,,1,20003000,CR-547022-537
CR-Worcester-31b7b4bc-0,CR-Worcester,0,South Station - Framingham,,2,20003001,CR-546916-595
CR-Worcester-1d310675-0,CR-Worcester,0,South Station - Worcester,,2,20003002,CR-547031-527
CR-Worcester-b38f30d8-0,CR-Worcester,0,South Station - Worcester,,2,20003003,CR-547040-513
